"","Sex","Age","Edu","n","n_2002","n_2008","conso_5_2002","conso_5_2008","conso_5_2002_2008","habit_constraint","budget_constraint","time_constraint","social_context_breakfast","social_context_lunch","social_context_dinner","opinion_index_Hq1","opinion_index_Hq2","opinion_index_Hq3","opinion_index_Hq4","opinion_index_Hq5","Group.1","opinion_index_Uq1","opinion_index_Uq2","opinion_index_Uq3","opinion_index_Uq4","opinion_index_Uq5"
"1",1,1,1,387,101,286,0.0198019801980198,0.041958041958042,0.0361757105943152,0.534351145038168,0.556363636363636,0.447272727272727,0.109756097560976,0.46218487394958,0.169354838709677,0,0,1,0,0,"1_1_1",0.0833333333333333,0.46875,0.229166666666667,0.15625,0.0625
"2",1,1,2,241,86,155,0.0232558139534884,0.0516129032258065,0.04149377593361,0.639344262295082,0.597402597402597,0.538961038961039,0.123152709359606,0.440528634361233,0.307359307359307,0,1,0,0,0,"1_1_2",0.107142857142857,0.416666666666667,0.380952380952381,0.0595238095238095,0.0357142857142857
"3",1,1,3,114,46,68,0.0652173913043478,0.0735294117647059,0.0701754385964912,0.735849056603774,0.564705882352941,0.55952380952381,0.0612244897959184,0.413461538461538,0.315315315315315,0,0,0.333333333333333,0.333333333333333,0.333333333333333,"1_1_3",0.0930232558139535,0.465116279069767,0.255813953488372,0.13953488372093,0.0465116279069767
"4",1,2,1,596,241,355,0.0497925311203319,0.0816901408450704,0.0687919463087248,0.6375,0.565011820330969,0.409952606635071,0.0548672566371681,0.297153024911032,0.107638888888889,0,0.25,0.5,0.166666666666667,0.0833333333333333,"1_2_1",0.0625,0.508928571428571,0.325892857142857,0.0892857142857143,0.0133928571428571
"5",1,2,2,347,122,225,0.0737704918032787,0.111111111111111,0.0979827089337176,0.83743842364532,0.476363636363636,0.485401459854015,0.0640243902439024,0.36890243902439,0.156342182890855,0,0.444444444444444,0.111111111111111,0.444444444444444,0,"1_2_2",0.0442477876106195,0.442477876106195,0.327433628318584,0.15929203539823,0.0265486725663717
"6",1,2,3,298,118,180,0.0593220338983051,0.166666666666667,0.124161073825503,0.829545454545455,0.433734939759036,0.598393574297189,0.0492957746478873,0.410714285714286,0.14041095890411,0,0,0.571428571428571,0.142857142857143,0.285714285714286,"1_2_3",0.036036036036036,0.378378378378378,0.369369369369369,0.171171171171171,0.045045045045045
"7",1,3,1,244,95,149,0.147368421052632,0.174496644295302,0.163934426229508,0.578947368421053,0.531791907514451,0.276470588235294,0.016597510373444,0.0452674897119342,0.0336134453781513,0.0714285714285714,0.285714285714286,0.428571428571429,0.142857142857143,0.0714285714285714,"1_3_1",0.0759493670886076,0.291139240506329,0.531645569620253,0.10126582278481,0
"8",1,3,2,77,31,46,0.032258064516129,0.239130434782609,0.155844155844156,0.863636363636364,0.466666666666667,0.366666666666667,0.0131578947368421,0.0533333333333333,0.0649350649350649,0,0,1,0,0,"1_3_2",0.0333333333333333,0.4,0.5,0.0333333333333333,0.0333333333333333
"9",1,3,3,62,28,34,0.178571428571429,0.205882352941176,0.193548387096774,0.925,0.294117647058824,0.5,0.0333333333333333,0.131147540983607,0.0645161290322581,0,0.4,0.2,0.4,0,"1_3_3",0.0434782608695652,0.608695652173913,0.260869565217391,0.0869565217391304,0
"10",2,1,1,354,109,245,0.036697247706422,0.0693877551020408,0.0593220338983051,0.74,0.653992395437262,0.513409961685824,0.0970873786407767,0.368580060422961,0.120234604105572,0,0.5,0.25,0.25,0,"2_1_1",0.116504854368932,0.388349514563107,0.213592233009709,0.174757281553398,0.106796116504854
"11",2,1,2,313,122,191,0.040983606557377,0.0890052356020942,0.0702875399361022,0.776536312849162,0.672566371681416,0.584070796460177,0.0882352941176471,0.386206896551724,0.246753246753247,0,0.2,0.2,0.6,0,"2_1_2",0.0427350427350427,0.435897435897436,0.264957264957265,0.213675213675214,0.0427350427350427
"12",2,1,3,178,57,121,0.105263157894737,0.0578512396694215,0.0730337078651685,0.829268292682927,0.714285714285714,0.71969696969697,0.122699386503067,0.453488372093023,0.248554913294798,0,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667,"2_1_3",0.0392156862745098,0.176470588235294,0.509803921568627,0.176470588235294,0.0980392156862745
"13",2,2,1,710,341,369,0.134897360703812,0.105691056910569,0.119718309859155,0.771717171717172,0.690048939641109,0.532362459546926,0.044862518089725,0.205397301349325,0.0840579710144927,0,0.152173913043478,0.434782608695652,0.304347826086957,0.108695652173913,"2_2_1",0.0348432055749129,0.29616724738676,0.470383275261324,0.153310104529617,0.0452961672473868
"14",2,2,2,480,178,302,0.146067415730337,0.119205298013245,0.129166666666667,0.853521126760563,0.658371040723982,0.645454545454546,0.0445859872611465,0.289473684210526,0.0955414012738854,0,0.0384615384615385,0.384615384615385,0.461538461538462,0.115384615384615,"2_2_2",0.0263157894736842,0.263157894736842,0.532894736842105,0.125,0.0526315789473684
"15",2,2,3,335,124,211,0.145161290322581,0.170616113744076,0.161194029850746,0.885593220338983,0.592833876221498,0.752442996742671,0.0398773006134969,0.342507645259939,0.113149847094801,0,0.222222222222222,0.111111111111111,0.611111111111111,0.0555555555555556,"2_2_3",0.0283018867924528,0.188679245283019,0.509433962264151,0.188679245283019,0.0849056603773585
"16",2,3,1,476,235,241,0.2,0.219917012448133,0.210084033613445,0.706827309236948,0.722838137472284,0.353200883002208,0.0170575692963753,0.127118644067797,0.0622317596566524,0,0.260869565217391,0.478260869565217,0.173913043478261,0.0869565217391304,"2_3_1",0.021978021978022,0.214285714285714,0.532967032967033,0.181318681318681,0.0494505494505494
"17",2,3,2,133,46,87,0.260869565217391,0.310344827586207,0.293233082706767,0.805555555555556,0.689922480620155,0.48062015503876,0.0827067669172932,0.198473282442748,0.078740157480315,0,0.0833333333333333,0.583333333333333,0.25,0.0833333333333333,"2_3_2",0,0.147058823529412,0.676470588235294,0.117647058823529,0.0588235294117647
"18",2,3,3,57,17,40,0.235294117647059,0.3,0.280701754385965,0.818181818181818,0.607142857142857,0.696428571428571,0.0526315789473684,0.178571428571429,0.142857142857143,0,0,0.75,0,0.25,"2_3_3",0,0.230769230769231,0.692307692307692,0,0.0769230769230769
